RNA1 name,RNA2 name,RNA1 chromosome,Start of RNA1 first read,Start of RNA1 last read,RNA1 strand,RNA2 chromosome,Start of RNA2 last read,Start of RNA2 first read,RNA2 strand,Number of interactions,Other interactions of RNA1,Other interactions of RNA2,Total other interactions,Odds ratio,Fishers exact test p-value,RNA1 type,RNA2 type
SL1344_1954#gene1982,SL1344_1968#gene1996,NC_016810,2062231,2062544,-,NC_016810,2073568,2073571,+,155,46,18526,23600734,4292.57327,0.00E+00,CDS,CDS
SL1344_4445#gene4535.5UTR,GcvB,NC_016810,4789003,4789053,-,NC_016810,3156840,3156984,+,154,1010,683293,22935004,5.117892927,1.09E-47,5UTR,sRNA
ompA#gene1026.5UTR,MicA,NC_016810,1118324,1118489,-,NC_016810,2989452,2989505,+,153,9316,5235,23604757,74.05336519,1.59E-214,5UTR,sRNA
SL1344_1008#gene1024.5UTR,MgrR,NC_016810,1116501,1116606,-,NC_016810,1550836,1550844,+,152,217,42854,23576238,385.3603217,1.53E-303,5UTR,sRNA
STnc440,siiA#gene4277.5UTR,NC_016810,4580485,4580499,+,NC_016810,4498814,4498890,+,151,37072,1775,23580463,54.11091797,4.19E-190,sRNA,5UTR
STnc870,truA#gene2376,NC_016810,4292540,4292544,+,NC_016810,2478308,2478639,-,151,17055,876,23601379,238.5385068,1.37E-283,sRNA,CDS
rfaD#gene3738,ChiX,NC_016810,3927323,3927354,+,NC_016810,555564,555574,+,149,24,14718591,8900697,3.754333134,1.79E-05,CDS,sRNA
ArcZ,SL1344_1632#gene1653,NC_016810,3511862,3511863,+,NC_016810,1751034,1751230,+,148,121578,317,23497418,90.233458,1.92E-208,sRNA,CDS
lysS#gene3072.3UTR,MgrR,NC_016810,3219827,3219864,-,NC_016810,1550824,1550844,+,147,17,42859,23576438,4756.686956,0.00E+00,3UTR,sRNA
SL1344_3771#gene3830,ArcZ,NC_016810,4027332,4027368,-,NC_016810,3511898,3511900,+,147,603,27198,23591513,211.4554328,2.08E-266,CDS,sRNA
SL1344_3158#gene3215,InvR,NC_016810,3368064,3368081,-,NC_016810,3067529,3067587,+,147,628,397756,23220930,13.66534375,2.80E-97,CDS,sRNA
STnc510,MgrR,NC_016810,1288751,1288776,+,NC_016810,1550842,1550844,+,147,360,42859,23576095,224.6180606,5.47E-266,sRNA,sRNA
ompF#gene952.5UTR,MicF,NC_016810,1047423,1047476,-,NC_016810,2364671,2364721,+,147,27,133251,23486036,959.6056932,4.61E-293,5UTR,sRNA
sipA#gene2913,InvR,NC_016810,3048131,3048286,-,NC_016810,3067540,3067587,+,146,388,397757,23221170,21.96784202,3.58E-121,CDS,sRNA
cspD#gene897.5UTR,MgrR,NC_016810,978572,978590,-,NC_016810,1550787,1550844,+,146,2397,43358,23573560,33.11621961,4.95E-154,5UTR,sRNA
dacC#gene855.5UTR,CyaR,NC_016810,934674,934729,+,NC_016810,2228922,2228932,+,144,564,79888,23538865,75.22935834,1.03E-196,5UTR,sRNA
glpT#gene2291,InvR,NC_016810,2387000,2387021,-,NC_016810,3067533,3067587,+,144,3368,397759,23218190,2.49573664,1.62E-14,CDS,sRNA
STnc870,SL1344_1783#gene1805.5UTR,NC_016810,4292542,4292543,+,NC_016810,1909285,1909314,-,143,17063,135,23602120,1465.203314,0.00E+00,sRNA,5UTR
sicP#gene2911,ArcZ,NC_016810,3046658,3046847,-,NC_016810,3511898,3511899,+,142,847,27203,23591269,145.39164,2.64E-236,CDS,sRNA
traS,GcvB,NC_017720,10713,10743,-,NC_016810,3156816,3156966,+,142,2024,683305,22933990,2.354739432,6.80E-12,NC_017720#gene,sRNA
aspA#gene4347,SL1344_1968#gene1996,NC_016810,4592881,4592899,-,NC_016810,2073613,2073618,+,140,2513,350870,23265938,3.694110453,4.73E-30,CDS,CDS
glpF#gene4109,STnc440,NC_016810,4317304,4317394,-,NC_016810,4580515,4580565,+,140,4778,40432,23574111,17.08409547,6.58E-110,CDS,sRNA
ArcZ,invJ#gene2923,NC_016810,3511861,3511867,+,NC_016810,3058326,3058525,-,136,121590,4101,23493634,6.407689803,1.46E-54,sRNA,CDS
FnrS,STnc2000,NC_016810,1706827,1706903,-,NC_016810,1204288,1204295,-,136,211471,810,23407044,18.58444697,6.02E-108,sRNA,sRNA
STnc440,siiD#gene4280,NC_016810,4580494,4580499,+,NC_016810,4503270,4503297,+,135,37088,1534,23580704,55.95408025,2.57E-171,sRNA,CDS
invF#gene2930.5UTR,CyaR,NC_016810,3066404,3066639,-,NC_016810,2228914,2228932,+,134,9236,79898,23530193,4.272779244,4.94E-35,5UTR,sRNA
SL1344_2492#gene2537,InvR,NC_016810,2663013,2663023,-,NC_016810,3067555,3067587,+,134,1229,397769,23220329,6.364881915,6.93E-52,CDS,sRNA
sdhC#gene726,SL1344_1968#gene1996,NC_016810,797740,797748,+,NC_016810,2073613,2073618,+,134,244,350876,23268207,36.41868224,3.49E-135,CDS,CDS
glpK#gene4108,InvR,NC_016810,4316535,4316537,-,NC_016810,3067534,3067586,+,133,1342,397770,23220216,5.785399519,4.11E-47,CDS,sRNA
rfaI#gene3746,InvR,NC_016810,3935642,3935681,-,NC_016810,3067536,3067587,+,133,660,397770,23220898,11.7639912,2.10E-80,CDS,sRNA
lppA#gene1331,MgrR,NC_016810,1416458,1416491,-,NC_016810,1550779,1550843,+,133,10889,43371,23565068,6.636405349,2.37E-55,CDS,sRNA
gcd#gene170.5UTR,STnc870,NC_016810,200626,200626,-,NC_016810,4292580,4292583,+,133,222,18947,23600159,746.2307487,5.11E-305,5UTR,sRNA
ArcZ,SL1344_2482#gene2527,NC_016810,3511862,3511872,+,NC_016810,2651853,2651897,-,132,121594,244,23497491,104.5426372,3.94E-192,sRNA,CDS
gdhA#gene1254.5UTR,GcvB,NC_016810,1336837,1336893,-,NC_016810,3156836,3156964,+,132,677,683315,22935337,6.544393942,8.57E-51,5UTR,sRNA
traG,STnc440,NC_017720,11243,11301,-,NC_016810,4580534,4580564,+,132,3696,40440,23575193,20.82025664,6.43E-114,NC_017720#gene,sRNA
STnc440,siiE#gene4281,NC_016810,4580485,4580499,+,NC_016810,4503999,4504042,+,131,37092,3633,23578605,22.92153794,3.24E-118,sRNA,CDS
sipA#gene2913,DapZ,NC_016810,3047886,3047895,-,NC_016810,74872,74924,+,130,163,297249,23321919,62.57482278,7.44E-156,CDS,sRNA
SL1344_1263#gene1283,InvR,NC_016810,1364036,1364061,-,NC_016810,3067539,3067586,+,130,576,397773,23220982,13.17547101,9.01E-84,CDS,sRNA
STnc870,SL1344_1678#gene1699.AS,NC_016810,4292541,4292550,+,NC_016810,1798313,1798433,-,130,17076,834,23601421,215.4414718,3.21E-238,sRNA,AS
SL1344_3569#gene3630.5UTR,MicA,NC_016810,3800164,3800177,-,NC_016810,2989458,2989505,+,129,2753,5259,23611320,210.3781323,2.05E-237,5UTR,sRNA
ArcZ,pykA#gene1844.5UTR,NC_016810,3511861,3511863,+,NC_016810,1939938,1940338,+,128,121598,1317,23496418,18.78016582,1.80E-103,sRNA,5UTR
InvR,pagC#gene1201,NC_016810,3067502,3067528,+,NC_016810,1289421,1289431,+,128,384276,606,23234451,12.77104688,3.94E-81,sRNA,CDS
SL1344_3500#gene3561,MgrR,NC_016810,3719643,3719695,-,NC_016810,1550836,1550844,+,128,155,42878,23576300,454.0664361,1.33E-261,CDS,sRNA
clpA#gene899.3UTR,SL1344_1968#gene1996,NC_016810,981510,981519,+,NC_016810,2073570,2073618,+,127,60,369564,23249710,133.162013,5.69E-174,3UTR,CDS
SL1344_4239#gene4322,FnrS,NC_016810,4569912,4570045,-,NC_016810,1706805,1706857,-,127,7003,161627,23450704,2.631246695,1.87E-14,CDS,sRNA
ddlA#gene381,MgrR,NC_016810,433732,433751,-,NC_016810,1550812,1550844,+,127,449,42879,23576006,155.5188245,7.75E-212,CDS,sRNA
OmrA,nhaA#gene39,NC_016810,3191631,3191634,-,NC_016810,46232,46258,+,127,88941,801,23529592,41.94532787,1.11E-143,sRNA,CDS
ArcZ,SL1344_0034#gene33.SL1344_0035#gene34.IGR,NC_016810,3511862,3511863,+,NC_016810,38716,38718,+,125,121601,79,23497656,305.7527113,2.58E-222,sRNA,IGR
rfbK#gene2092,MgrR,NC_016810,2160200,2160223,-,NC_016810,1550837,1550844,+,124,1886,42882,23574569,36.14504134,1.44E-134,CDS,sRNA
SL1344_2456#gene2502,CyaR,NC_016810,2604526,2604545,-,NC_016810,2228922,2228932,+,122,1834,79910,23537595,19.5939256,3.35E-101,CDS,sRNA
InvR,rfbU#gene2095,NC_016810,3067505,3067528,+,NC_016810,2164260,2164298,-,121,384283,3485,23231572,2.098988279,2.21E-06,sRNA,CDS
RprA,nlpD#gene2957,NC_016810,1401730,1401741,-,NC_016810,3089233,3089268,-,121,99405,9487,23510448,3.016540392,5.13E-18,sRNA,CDS
SL1344_3495#gene3556,STnc440,NC_016810,3713528,3713597,-,NC_016810,4580537,4580566,+,121,234,40451,23578655,301.4111254,2.82E-231,CDS,sRNA
ArcZ,glpK#gene4108,NC_016810,3511860,3511864,+,NC_016810,4316801,4317300,-,120,121606,9532,23488203,2.431599249,9.81E-11,sRNA,CDS
ArcZ,ompD#gene1523,NC_016810,3511861,3511868,+,NC_016810,1612524,1612580,+,120,121606,4867,23492868,4.763223225,4.08E-35,sRNA,CDS
SL1344_3369#gene3430,InvR,NC_016810,3596108,3596110,-,NC_016810,3067556,3067587,+,119,1803,397784,23219755,3.852667746,7.59E-26,CDS,sRNA
ArcZ,relA#gene2990,NC_016810,3511862,3511862,+,NC_016810,3126514,3126566,-,118,121608,693,23497042,32.90029711,7.47E-121,sRNA,CDS
ArcZ,siiB#gene4278,NC_016810,3511861,3511863,+,NC_016810,4500032,4500193,+,117,121609,8400,23489335,2.690367328,1.81E-13,sRNA,CDS
STnc870,siiF#gene4282,NC_016810,4292538,4292559,+,NC_016810,4520814,4520833,+,117,17089,3578,23598677,45.15611098,2.12E-138,sRNA,CDS
ArcZ,alaS#gene2859,NC_016810,3511862,3511863,+,NC_016810,2994066,2994074,-,116,121610,7447,23490288,3.008816405,5.94E-17,sRNA,CDS
slyB#gene1399,InvR,NC_016810,1477356,1477399,-,NC_016810,3067532,3067586,+,116,133,397787,23221425,50.91486884,2.56E-127,CDS,sRNA
STnc440,sipC#gene2915,NC_016810,4580485,4580519,+,NC_016810,3051306,3051552,-,116,45052,3468,23570825,17.50006285,2.57E-91,sRNA,CDS
lrhA#gene2338.5UTR,RprA,NC_016810,2438849,2438912,-,NC_016810,1401683,1401694,-,115,2555,75916,23540875,13.9571331,1.04E-79,5UTR,sRNA
tRNA-Gln#rna12,ybfM#gene682,NC_016810,737791,737797,-,NC_016810,749013,749051,+,115,1137,1202,23617007,1987.274072,0.00E+00,tRNA,CDS
ArcZ,SL1344_4179#gene4263,NC_016810,3511861,3511863,+,NC_016810,4486116,4486198,+,114,121612,23,23497712,957.6926648,4.94E-229,sRNA,CDS
aspA#gene4347,MgrR,NC_016810,4592666,4592839,-,NC_016810,1550815,1550844,+,113,3650,42893,23572805,17.01415638,1.39E-87,CDS,sRNA
glgS#gene3227,CyaR,NC_016810,3380168,3380189,-,NC_016810,2228925,2228932,+,111,429,79921,23539000,76.20663517,4.37E-151,CDS,sRNA
ArcZ,mltA#gene3021.AS,NC_016810,3511862,3511863,+,NC_016810,3162204,3162215,+,110,121616,0,23497735,inf,1.04E-245,sRNA,AS
fkpA#gene3481.5UTR,SL1344_1968#gene1996,NC_016810,3627345,3627383,-,NC_016810,2073569,2073570,+,110,383,18571,23600397,364.9874485,3.31E-223,5UTR,CDS
yifK#gene3954.5UTR,GcvB,NC_016810,4160904,4160938,+,NC_016810,3156903,3156931,+,109,103,599652,23019597,40.62446952,1.56E-106,5UTR,sRNA
siiE#gene4281,InvR,NC_016810,4509316,4509379,+,NC_016810,3067538,3067585,+,109,246,397794,23221312,25.86544271,2.15E-95,CDS,sRNA
FnrS,grpE#gene2705.AS,NC_016810,1706825,1706828,-,NC_016810,2833241,2833242,+,108,174660,642,23444051,22.58020753,2.39E-93,sRNA,AS
pykA#gene1844.5UTR,ArcZ,NC_016810,1940001,1940004,+,NC_016810,3511898,3511899,+,106,90,27239,23592026,1020.08752,6.14E-248,5UTR,sRNA
groEL#gene4351.3UTR,OxyS,NC_016810,4597357,4597400,+,NC_016810,4364305,4364337,-,104,168,1791,23617398,8163.201563,0.00E+00,3UTR,sRNA
SL1344_2715#gene2765.5UTR,MgrR,NC_016810,2894032,2894037,-,NC_016810,1550836,1550843,+,104,33,42902,23576422,1731.887818,2.75E-247,5UTR,sRNA
MgrR,SL1344_2780#gene2827,NC_016810,1550792,1550801,+,NC_016810,2968379,2968417,-,104,5961,5336,23608060,77.18958337,2.47E-146,sRNA,CDS
siiC#gene4279,STnc440,NC_016810,4501441,4501450,+,NC_016810,4580534,4580565,+,104,931,40468,23577958,65.08458002,4.08E-137,CDS,sRNA
traB,ArcZ,NC_017718,85148,85150,-,NC_016810,3511898,3511899,+,103,34,27242,23592082,2623.527302,2.45E-264,NC_017718#gene,sRNA
STnc440,sipF#gene2912,NC_016810,4580485,4580521,+,NC_016810,3047015,3047076,-,103,45065,1350,23572943,39.90964704,4.52E-115,sRNA,CDS
cadC#gene2564,CyaR,NC_016810,2694318,2694722,+,NC_016810,2228896,2228932,+,102,3021,96114,23520224,8.262362559,2.20E-49,CDS,sRNA
GcvB,STnc2170,NC_016810,3156809,3156816,+,NC_016810,1553671,1553701,-,102,639789,420,22979150,8.722642487,3.30E-48,sRNA,sRNA
tRNA-Leu#rna62,InvR,NC_016810,3482491,3482491,-,NC_016810,3067555,3067586,+,102,3013,397801,23218545,1.975923701,3.14E-03,tRNA,sRNA
SL1344_1514#gene1534,InvR,NC_016810,1626440,1626457,-,NC_016810,3067533,3067587,+,101,240,397802,23221318,24.56575044,3.02E-86,CDS,sRNA
SL1344_2438#gene2484,InvR,NC_016810,2583432,2583483,-,NC_016810,3067536,3067587,+,101,827,397802,23220731,7.128937207,6.83E-42,CDS,sRNA
STnc475,STnc810,NC_016810,142854,142887,+,NC_016810,4467935,4467988,-,101,25938,8895,23584527,10.32443052,6.86E-58,sRNA,sRNA
ArcZ,SL1344_3943#gene4018,NC_016810,3511862,3511863,+,NC_016810,4224513,4224548,+,100,121626,310,23497425,62.32067581,6.17E-126,sRNA,CDS
SL1344_2533#gene2577,CyaR,NC_016810,2714225,2714327,-,NC_016810,2228925,2228932,+,100,247,79932,23539182,119.2267577,3.09E-152,CDS,sRNA
nagE#gene680.5UTR,STnc930,NC_016810,744598,744644,+,NC_016810,514548,514582,+,100,330,2289,23616742,3126.5131,1.63E-294,5UTR,sRNA
ArcZ,cyaA#gene3963.5UTR,NC_016810,3511862,3511863,+,NC_016810,4167913,4167923,+,97,121629,240,23497495,78.08092009,5.69E-130,sRNA,5UTR
sipD#gene2914,InvR,NC_016810,3049304,3049550,-,NC_016810,3067534,3067585,+,97,2237,397806,23219321,2.530952162,1.68E-08,CDS,sRNA
fliC#gene1914,STnc500,NC_016810,2006005,2006077,-,NC_016810,1172561,1172616,-,97,5404,19304,23594656,21.93929839,7.63E-85,CDS,sRNA
alaS#gene2859,STnc870,NC_016810,2993736,2994169,-,NC_016810,4292561,4292599,+,95,10357,18985,23590024,11.39744251,6.96E-58,CDS,sRNA
SL1344_2731#gene2780,CyaR,NC_016810,2910147,2910228,+,NC_016810,2228891,2228932,+,94,535,96122,23522710,42.99704678,8.75E-106,CDS,sRNA
hupB#gene452,STnc3640.AS,NC_016810,507568,507696,+,NC_016810,1915906,1915906,-,94,32608,3749,23583010,18.13374424,1.34E-74,CDS,AS
miaA#gene4381,STnc840,NC_016810,4625007,4625046,+,NC_016810,1224277,1224296,+,94,7270,23334,23588763,13.0710181,2.61E-62,CDS,sRNA
CyaR,SL1344_1768#gene1790,NC_016810,2228866,2228882,+,NC_016810,1894321,1894386,-,93,65018,16846,23537504,1.998540497,0.007299403,sRNA,CDS
dkgA#gene3196,InvR,NC_016810,3345974,3346161,+,NC_016810,3067536,3067586,+,93,234,397810,23221324,23.19948655,3.45E-77,CDS,sRNA
ArcZ,cap#gene3494,NC_016810,3511862,3511862,+,NC_016810,3637251,3637546,+,91,121635,445,23497290,39.5039569,1.61E-98,sRNA,CDS
ArcZ,sipF#gene2912,NC_016810,3511815,3511868,+,NC_016810,3046628,3047047,-,91,121635,3188,23494547,5.513553536,4.82E-30,sRNA,CDS
STnc870,glpT#gene2291,NC_016810,4292541,4292562,+,NC_016810,2387098,2387366,-,91,17115,35521,23566734,3.527594892,1.11E-16,sRNA,CDS
ArcZ,SL1344_0467#gene474,NC_016810,3511862,3511863,+,NC_016810,527860,528205,-,90,121636,266,23497469,65.36117158,1.96E-114,sRNA,CDS
siiD#gene4280,CyaR,NC_016810,4502514,4502564,+,NC_016810,2228903,2228931,+,90,194,79942,23539235,136.6023324,6.80E-141,CDS,sRNA
glpK#gene4108,FnrS,NC_016810,4316528,4316539,-,NC_016810,1706804,1706845,-,90,1385,161664,23456322,9.428428906,4.25E-47,CDS,sRNA
STnc870,STnc730,NC_016810,4292542,4292555,+,NC_016810,1462324,1462375,-,90,17116,5796,23596459,21.40714202,1.70E-77,sRNA,sRNA
SL1344_2763#gene2811.3UTR,InvR,NC_016810,2949371,2949392,-,NC_016810,3067543,3067586,+,89,115,397814,23221443,45.17532723,2.88E-93,3UTR,sRNA
ArcZ,SL1344_1408#gene1429.pntA#gene1430.IGR,NC_016810,3511862,3511863,+,NC_016810,1512285,1512301,+,89,121637,85,23497650,202.2692254,1.05E-146,sRNA,IGR
STnc440,prgH#gene2906,NC_016810,4580518,4580524,+,NC_016810,3039570,3039623,-,89,7856,14438,23597078,18.51568239,2.59E-71,sRNA,CDS
ArcZ,SL1344_2944#gene2997.AS,NC_016810,3511862,3511863,+,NC_016810,3136583,3136713,+,88,121638,10,23497725,1699.962018,3.03E-182,sRNA,AS
minD#gene1766,MgrR,NC_016810,1870171,1870187,+,NC_016810,1550842,1550843,+,88,88,42918,23576367,549.3351741,1.82E-183,CDS,sRNA
SL1344_3614#gene3675.3UTR,FnrS,NC_016810,3857498,3857500,+,NC_016810,1706835,1706840,-,87,239,161667,23457468,52.81789695,3.29E-102,3UTR,sRNA
mpl#gene4436,STnc440,NC_016810,4677262,4677285,+,NC_016810,4580534,4580564,+,87,520,40485,23578369,97.4396074,5.28E-128,CDS,sRNA
atpD#gene3892,CyaR,NC_016810,4096368,4096729,-,NC_016810,2228891,2228932,+,86,953,96130,23522292,22.08138171,8.93E-74,CDS,sRNA
sipC#gene2915,CyaR,NC_016810,3051560,3051868,-,NC_016810,2228887,2228933,+,86,2221,96130,23521024,9.474300939,2.52E-45,CDS,sRNA
spaO#gene2922,FnrS,NC_016810,3057168,3057197,-,NC_016810,1706784,1706793,-,85,10712,39149,23569515,4.777254019,1.04E-23,CDS,sRNA
rfc#gene1287,MgrR,NC_016810,1367635,1367643,-,NC_016810,1550812,1550843,+,85,54,42921,23576401,864.6350638,8.28E-188,CDS,sRNA
ArcZ,SL1344_2250#gene2289.AS,NC_016810,3511862,3511863,+,NC_016810,2384730,2384854,-,84,121642,394,23497341,41.18302388,6.58E-92,sRNA,AS
ArcZ,hilA#gene2908.5UTR,NC_016810,3511862,3511871,+,NC_016810,3042150,3042211,+,84,121642,2616,23495119,6.20205543,7.34E-31,sRNA,5UTR
SL1344_4094#gene4175,ChiX,NC_016810,4395701,4395798,+,NC_016810,555572,555573,+,84,5,14718656,8900716,10.15935346,9.84E-06,CDS,sRNA
gpmA#gene766,CyaR,NC_016810,836164,836386,-,NC_016810,2228894,2228931,+,84,1147,96132,23522098,17.91941986,5.28E-65,CDS,sRNA
ArcZ,relA#gene2990,NC_016810,3511862,3511863,+,NC_016810,3126257,3126397,-,83,121643,2258,23495477,7.099884747,1.01E-34,sRNA,CDS
thrL#gene0,GcvB,NC_016810,237,237,+,NC_016810,3156808,3156984,+,83,815,683364,22935199,3.417990884,3.84E-13,CDS,sRNA
ArcZ,glpA#gene2292,NC_016810,3511862,3511864,+,NC_016810,2389253,2389590,+,82,121644,2736,23494999,5.788719392,5.40E-28,sRNA,CDS
ArcZ,sbcB#gene2076.sopA#gene2075.IGR,NC_016810,3511861,3511863,+,NC_016810,2141753,2141768,-,82,121644,156,23497579,101.536381,1.10E-116,sRNA,IGR
sprB#gene2898,ArcZ,NC_016810,3033663,3033691,-,NC_016810,3511885,3511917,+,82,3074,56226,23560079,11.17762521,1.85E-48,CDS,sRNA
GJB7-4706.yddA.IGR,STnc840,NC_017718,27932,27961,+,NC_016810,1224273,1224280,+,82,2106,23346,23593927,39.349864,9.97E-91,IGR,sRNA
glpT#gene2291,MgrR,NC_016810,2386648,2386680,-,NC_016810,1550835,1550843,+,82,4646,42924,23571809,9.692311739,5.34E-44,CDS,sRNA
SL1344_2439#gene2485.5UTR,CyaR,NC_016810,2584711,2584717,-,NC_016810,2228925,2228931,+,81,183,79951,23539246,130.317451,5.80E-125,5UTR,sRNA
STnc1190,FnrS,NC_016810,4601138,4601168,+,NC_016810,1706784,1706880,-,81,2401,200907,23416072,3.931984842,7.57E-17,sRNA,sRNA
siiD#gene4280,MgrR,NC_016810,4502928,4502965,+,NC_016810,1550836,1550843,+,81,113,42925,23576342,393.7065992,4.75E-160,CDS,sRNA
ArcZ,parB,NC_016810,3511862,3511863,+,NC_017720,48207,48595,-,79,121647,197,23497538,77.4607723,1.02E-104,sRNA,NC_017720#gene
ArcZ,sitA#gene2893.AS,NC_016810,3511862,3511863,+,NC_016810,3029373,3029373,-,79,121647,0,23497735,inf,8.92E-175,sRNA,AS
InvR,rmf#gene1022,NC_016810,3067489,3067530,+,NC_016810,1113958,1113998,+,79,389645,1546,23228191,3.046238359,5.64E-10,sRNA,CDS
sipB#gene2916,InvR,NC_016810,3053352,3053494,-,NC_016810,3067529,3067586,+,79,991,397824,23220567,4.653023835,2.98E-20,CDS,sRNA
invF#gene2930.5UTR,MgrR,NC_016810,3066344,3066629,-,NC_016810,1550842,1550844,+,79,11130,42927,23565325,3.896501271,2.57E-16,5UTR,sRNA
SL1344_1968#gene1996,dnaN#gene3864,NC_016810,2073534,2073549,+,NC_016810,4064902,4064942,-,79,369625,67,23249690,74.16655687,1.50E-94,CDS,CDS
STnc440,hupB#gene452,NC_016810,4580485,4580503,+,NC_016810,507712,507746,+,79,45089,7830,23566463,5.273380775,2.18E-24,sRNA,CDS
STnc440,plsC#gene3204,NC_016810,4580494,4580499,+,NC_016810,3357328,3357385,-,79,37144,139,23582099,360.8328584,8.35E-155,sRNA,CDS
STnc440,siiC#gene4279,NC_016810,4580485,4580499,+,NC_016810,4502284,4502316,+,79,37144,141,23582097,355.7146316,2.03E-154,sRNA,CDS
STnc870,aroK#gene3515,NC_016810,4292542,4292548,+,NC_016810,3664014,3664014,-,79,17127,233,23602022,467.2389974,1.17E-166,sRNA,CDS
rob#gene4607.5UTR,STnc870,NC_016810,4864150,4864158,-,NC_016810,4292596,4292599,+,79,624,19001,23599757,157.243816,1.19E-132,5UTR,sRNA
basS#gene4311.AS,FnrS,NC_016810,4553957,4553958,+,NC_016810,1706784,1706792,-,78,174,39156,23580053,269.9552709,1.54E-144,AS,sRNA
siiE#gene4281,FnrS,NC_016810,4504232,4504260,+,NC_016810,1706785,1706840,-,77,4185,200911,23414288,2.144235607,1.14E-02,CDS,sRNA
glpA#gene2292.5UTR,STnc440,NC_016810,2387898,2387956,+,NC_016810,4580534,4580564,+,77,3531,40495,23575358,12.69550266,3.64E-49,5UTR,sRNA
ArcZ,glpT#gene2291,NC_016810,3511862,3511870,+,NC_016810,2386786,2387098,-,76,121650,6518,23491217,2.251607256,1.37E-03,sRNA,CDS
ArcZ,speG#gene1453,NC_016810,3511862,3511863,+,NC_016810,1537672,1537797,-,76,121650,134,23497601,109.5519735,9.29E-110,sRNA,CDS
ompD#gene1523,RybB,NC_016810,1612001,1612040,+,NC_016810,941812,941855,-,76,6301,50593,23562491,5.617393946,5.85E-25,CDS,sRNA
rpoE#gene2651.5UTR,STnc440,NC_016810,2780441,2780482,-,NC_016810,4580516,4580559,+,76,752,40496,23578137,58.84277026,8.51E-96,5UTR,sRNA
ArcZ,hyb0#gene3181,NC_016810,3511862,3511863,+,NC_016810,3334148,3334570,-,75,121651,1596,23496139,9.07630739,1.48E-37,sRNA,CDS
GcvB,STnc1180,NC_016810,3156815,3156816,+,NC_016810,4559882,4559915,-,75,639816,1062,22978508,2.536316673,2.59E-05,sRNA,sRNA
dnaA#gene3865,SL1344_1968#gene1996,NC_016810,4064955,4064971,-,NC_016810,2073617,2073618,+,75,128,350935,23268323,38.84988105,4.13E-75,CDS,CDS
STnc870,traS,NC_016810,4292542,4292543,+,NC_017720,11030,11049,-,75,17131,3907,23598348,26.44336614,2.56E-70,sRNA,NC_017720#gene
sprB#gene2898,hilC#gene2899,NC_016810,3034043,3034170,-,NC_016810,3035140,3035365,-,75,2127,8992,23608267,92.57667605,6.33E-110,CDS,CDS
alaS#gene2859,ArcZ,NC_016810,2994134,2994135,-,NC_016810,3511899,3511900,+,74,7741,27271,23584375,8.267190794,8.82E-35,CDS,sRNA
ArcZ,hilD#gene2907,NC_016810,3511862,3511863,+,NC_016810,3040648,3040753,+,74,121652,2231,23495504,6.406158234,1.84E-27,sRNA,CDS
STnc440,sptP#gene2910,NC_016810,4580497,4580508,+,NC_016810,3046236,3046254,-,74,45094,341,23573952,113.4464669,2.76E-112,sRNA,CDS
ArcZ,murF#gene125,NC_016810,3511862,3511863,+,NC_016810,145472,145478,+,73,121653,8,23497727,1762.527508,1.48E-150,sRNA,CDS
trkH#gene4009,CyaR,NC_016810,4216469,4216616,+,NC_016810,2228910,2228932,+,72,1283,79960,23538146,16.51981985,7.34E-53,CDS,sRNA
SL1344_4250#gene4333,FnrS,NC_016810,4581404,4581430,-,NC_016810,1706784,1706785,-,72,1289,39162,23578938,33.63093615,4.45E-74,CDS,sRNA
GcvB,ysgA#gene3991,NC_016810,3156802,3156816,+,NC_016810,4196106,4196135,-,72,639819,142,22979428,18.21068296,2.06E-50,sRNA,CDS
SL1344_3566#gene3627.5UTR,InvR,NC_016810,3795699,3795726,-,NC_016810,3067555,3067586,+,72,1592,397831,23219966,2.639686742,8.42E-06,5UTR,sRNA
rfbJ#gene2098,STnc2080,NC_016810,2168208,2168213,-,NC_016810,2759411,2759417,-,72,322,8009,23611058,659.1948096,1.16E-163,CDS,sRNA
glpF#gene4109,tRNA-Gly#rna32,NC_016810,4317796,4317877,-,NC_016810,1993157,1993170,-,72,39373,8693,23571323,4.958476611,2.97E-20,CDS,tRNA
SL1344_3566#gene3627.5UTR,ArcZ,NC_016810,3795725,3795727,-,NC_016810,3511898,3511900,+,71,393,27274,23591723,156.2703636,8.44E-118,5UTR,sRNA
SL1344_4300#gene4387,DapZ,NC_016810,4631346,4631748,+,NC_016810,74880,74893,+,71,2107,120225,23497058,6.585860332,7.29E-27,CDS,sRNA
invF#gene2930,InvR,NC_016810,3066403,3066465,-,NC_016810,3067529,3067587,+,71,1893,397832,23219665,2.189091786,0.025186647,CDS,sRNA
sopE2#gene1806,InvR,NC_016810,1910251,1910274,-,NC_016810,3067550,3067586,+,71,1660,397832,23219898,2.496380924,1.29E-04,CDS,sRNA
dnaJ#gene12,SL1344_3817#gene3877,NC_016810,14722,14724,+,NC_016810,4078944,4078982,+,71,4737,1532,23613121,231.0200062,1.59E-131,CDS,CDS
STnc1180,tolB#gene742,NC_016810,4559955,4559977,-,NC_016810,816587,816589,+,71,1063,7196,23611131,219.1546653,1.11E-129,sRNA,CDS
cydB#gene735,CyaR,NC_016810,810547,810551,+,NC_016810,2228911,2228933,+,70,1931,79962,23537498,10.67068782,2.93E-39,CDS,sRNA
