Genome,Type,Start,End,Strand,Locus_tag,Gene_name,MS2-PinT_SPI-1_vs_PinT_SPI-1_log2FoldChange,MS2-PinT_SPI-1_vs_PinT_SPI-1_pvalue,MS2-PinT_SPI-1_vs_PinT_SPI-1_padj,MS2-PinT_SPI-1_vs_MS2_SPI-1_log2FoldChange,MS2-PinT_SPI-1_vs_MS2_SPI-1_pvalue,MS2-PinT_SPI-1_vs_MS2_SPI-1_padj
NC_016810.1,CDS,4172482,4172871,-,SL1344_3899,SL1344_3899,5.68,0.000498092,0.001522981,0.59,0.657892113,0.8549477520000001
NC_016810.1,CDS,3484442,3485290,-,SL1344_3266,folP,5.68,9.52171e-10,2.7008099999999998e-08,2.69,0.001850917,0.037837229
NC_016810.1,CDS,3920432,3921715,+,SL1344_3671,SL1344_3671,5.68,1.6082499999999998e-10,6.9408800000000005e-09,1.42,0.10612429,0.37170919799999996
NC_016810.1,sRNA,3037101,3037394,+,ncRNA0373,STnc4240,5.68,2.30245e-08,3.72429e-07,0.08,0.9330308340000001,0.97597989
NC_016810.1,CDS,3391272,3392096,-,SL1344_3178,bacA,5.68,1.39368e-07,1.5997799999999998e-06,1.46,0.151143456,0.440887101
NC_016810.1,CDS,2935199,2935738,-,SL1344_2755,fljA,5.68,5.28679e-06,3.32771e-05,1.84,0.0856387,0.332787252
NC_016810.1,CDS,4057946,4059139,+,SL1344_3800,SL1344_3800,5.67,7.58118e-08,9.590779999999999e-07,0.37,0.689264707,0.87221529
NC_016810.1,CDS,3922668,3923702,-,SL1344_3673,SL1344_3673,5.67,0.000266633,0.0009014369999999999,0.2,0.864321215,0.948344042
NC_016810.1,CDS,3554718,3555647,+,SL1344_3339,SL1344_3339,5.67,2.39756e-06,1.72182e-05,-1.02,0.27299213,0.578030418
NC_016810.1,CDS,3229557,3229868,-,SL1344_3026,SL1344_3026,5.67,2.35589e-07,2.50887e-06,0.43,0.639446816,0.844324447
NC_016810.1,CDS,1441849,1443303,+,SL1344_1334,sseC,5.67,1.1851499999999999e-08,2.13801e-07,-0.55,0.576300324,0.809604745
NC_016810.1,CDS,4499778,4501166,+,SL1344_4194,siiB,5.66,9.735530000000001e-09,1.80317e-07,-1.75,0.06980333,0.295639021
NC_016810.1,CDS,322396,323169,+,SL1344_0278,sciQ,5.66,0.000128733,0.000494957,-1.42,0.168192738,0.46501156200000004
NC_016810.1,CDS,4023262,4024185,-,SL1344_3768,dsdC,5.66,0.00027392599999999997,0.0009198860000000001,-0.03,0.981935535,0.9937913079999999
NC_016810.1,CDS,1677004,1677720,-,SL1344_1560,SL1344_1560,5.66,2.6785e-05,0.000130378,-1.44,0.154476257,0.44686033700000005
NC_016810.1,CDS,1181205,1182143,+,SL1344_1072,SL1344_1072,5.66,7.97072e-09,1.52322e-07,1.85,0.035149215,0.198621971
NC_016810.1,CDS,1270948,1271457,+,SL1344_1166,SL1344_1166,5.66,1.16913e-08,2.1175899999999998e-07,1.3,0.147454555,0.43609313
NC_016810.1,CDS,388984,389472,+,SL1344_0340,SL1344_0340,5.66,1.61765e-08,2.7582699999999997e-07,-1.86,0.026886949,0.17095132899999999
NC_016810.1,CDS,2489764,2490039,-,SL1344_2349,SL1344_2349,5.65,8.914419999999999e-07,7.5218e-06,1.39,0.149614881,0.43841771
NC_016810.1,CDS,2973730,2974161,+,SL1344_2788,SL1344_2788,5.65,0.000818255,0.002324617,3.22,0.032257747,
NC_016810.1,CDS,2163953,2165014,-,SL1344_2063,rfbU,5.64,1.92969e-09,5.01389e-08,-2.1,0.014185952,0.117126619
NC_016810.1,CDS,1361556,1361846,-,SL1344_1260,SL1344_1260,5.64,2.63797e-09,6.2617e-08,1.91,0.030136549,0.18337393600000002
NC_016810.1,CDS,3503386,3503952,+,SL1344_3288,SL1344_3288,5.64,2.10693e-10,8.599339999999999e-09,2.62,0.002385454,0.042940997
NC_016810.1,CDS,1664695,1665897,-,SL1344_1550,SL1344_1550,5.64,2.5374200000000002e-05,0.000124524,1.0,0.338379131,0.634475961
NC_016810.1,CDS,1232295,1233374,+,SL1344_1129,plsX,5.64,1.41555e-09,3.8574699999999997e-08,2.41,0.008223184,0.085739725
NC_016810.1,CDS,2298263,2299126,-,SL1344_2178,yeiE,5.64,2.38147e-10,9.589670000000001e-09,0.11,0.899611398,0.964948942
NC_016810.1,CDS,2888519,2889730,+,SL1344_2710,SL1344_2710,5.63,3.60698e-08,5.37768e-07,-0.79,0.391335009,0.677374272
NC_016810.1,CDS,1888844,1889302,+,SL1344_1762,SL1344_1762,5.62,3.82495e-05,0.00017720099999999999,0.17,0.868492295,0.949795277
NC_016810.1,CDS,4581462,4582337,-,SL1344_4251,SL1344_4251,5.62,4.465430000000001e-08,6.31319e-07,-2.47,0.015427883,0.12130086300000001
NC_016810.1,CDS,247314,247700,-,SL1344_0212,SL1344_0212,5.62,1.64827e-08,2.78416e-07,1.34,0.175693383,0.474280738
NC_016810.1,CDS,3044647,3046278,-,SL1344_2858,stpA,5.62,9.31972e-12,6.226950000000001e-10,0.08,0.9188728859999999,0.973037954
NC_016810.1,CDS,240160,240504,+,SL1344_0205,SL1344_0205,5.62,3.83776e-09,8.567719999999999e-08,2.19,0.019613504,0.141510906
NC_016810.1,CDS,2477470,2478129,-,SL1344_2336,dedA,5.61,1.04263e-07,1.25897e-06,-0.51,0.5808646129999999,0.810866133
NC_016810.1,CDS,3550283,3550546,+,SL1344_3333,SL1344_3333,5.61,0.000174256,0.000632151,-1.48,0.164149244,0.459285349
NC_016810.1,CDS,2285831,2286853,-,SL1344_2168,galS,5.61,6.01034e-11,2.9952099999999996e-09,2.53,0.002412445,0.042940997
NC_016810.1,CDS,2288160,2288828,-,SL1344_2170,folE,5.61,2.66096e-10,1.04356e-08,1.25,0.130017194,0.410931383
NC_016810.1,CDS,3648130,3648939,+,SL1344_3443,nirC,5.61,0.000408869,0.001290413,0.88,0.47950251899999996,
NC_016810.1,CDS,2929642,2929908,-,SL1344_2750,SL1344_2750,5.61,2.50962e-06,1.7898299999999998e-05,-0.86,0.34482286100000004,0.639762106
NC_016810.1,CDS,2456735,2457286,-,SL1344_2316,SL1344_2316,5.61,4.1318599999999994e-09,8.98794e-08,-2.07,0.021562208,0.149307871
NC_016810.1,CDS,94774,95064,-,SL1344_0083,SL1344_0083,5.6,2.4451999999999997e-07,2.58566e-06,-0.83,0.39474707,0.679634104
NC_016810.1,CDS,1098888,1099574,-,SL1344_0995,gtgE,5.6,3.1831400000000004e-10,1.18156e-08,-2.17,0.009284271,0.092377129
NC_016810.1,CDS,2290004,2290393,-,SL1344_2172,SL1344_2172,5.59,5.334980000000001e-06,3.35108e-05,0.46,0.634933353,0.8420012579999999
NC_016810.1,CDS,4877302,4877988,+,SL1344_4527,lasT,5.59,8.255350000000001e-09,1.5676500000000001e-07,1.12,0.1953341,0.497817845
NC_016810.1,CDS,3180280,3181155,-,SL1344_2980,lgt,5.59,4.00538e-11,2.13778e-09,1.78,0.029434624,0.18035056800000002
NC_016810.1,CDS,2050969,2051295,-,SL1344_1939,SL1344_1939,5.59,0.000111027,0.000435418,2.37,0.044612515,0.228499945
NC_016810.1,sRNA,1325422,1325551,+,ncRNA0502,RUF_341c.2,5.59,5.3461e-05,0.000234086,1.42,0.209329942,0.512559122
NC_016810.1,CDS,4549144,4550052,-,SL1344_4223,SL1344_4223,5.59,3.53463e-07,3.55019e-06,1.55,0.130275022,0.411069643
NC_016810.1,CDS,1872138,1872596,-,SL1344_1746,SL1344_1746,5.59,1.43897e-09,3.90948e-08,1.33,0.126460505,0.40546699799999997
NC_016810.1,CDS,138340,139344,+,SL1344_0118,fruR,5.58,2.10943e-09,5.3148300000000004e-08,2.86,0.0014882920000000002,0.033355539
NC_016810.1,CDS,3933801,3934811,-,SL1344_3683,rfaJ,5.58,1.36879e-09,3.7527400000000004e-08,-1.38,0.106179014,0.37170919799999996
NC_016810.1,CDS,833671,834750,+,SL1344_0747,SL1344_0747,5.58,4.11907e-07,3.97795e-06,2.15,0.025221179,0.163755603
NC_016810.1,CDS,2584805,2585380,-,SL1344_2440,SL1344_2440,5.57,3.49189e-10,1.27728e-08,-0.12,0.883465947,0.957316533
NC_016810.1,CDS,4720271,4722979,+,SL1344_4387,mgtA,5.57,2.50389e-08,3.97625e-07,0.04,0.9610207590000001,0.985867875
NC_016810.1,CDS,1686676,1687206,-,SL1344_1569,cybB,5.57,1.1341199999999998e-09,3.13796e-08,0.51,0.5488094020000001,0.7907020570000001
NC_016810.1,CDS,2720159,2720890,-,SL1344_2540,pdxJ,5.57,3.8917800000000003e-10,1.3553600000000002e-08,3.0,0.000498705,0.017252646
NC_017720.1,CDS,40717,41151,-,SL1344_P1_0043,SL1344_P1_0043,5.56,0.000293835,0.000973337,-1.0,0.38583392299999997,0.673786085
NC_016810.1,CDS,3042432,3044093,+,SL1344_2856,hilA,5.56,4.10184e-08,5.86348e-07,0.15,0.8832936370000001,0.957316533
NC_016810.1,CDS,3100549,3101469,-,SL1344_2917,SL1344_2917,5.56,0.000343426,0.0011138810000000002,-0.15,0.898992437,0.964948942
NC_016810.1,CDS,4815517,4815939,+,SL1344_4466,SL1344_4466,5.56,0.000628085,0.001858703,1.57,0.23559884,
NC_016810.1,CDS,2938953,2940068,+,SL1344_2758,iroB,5.55,0.000129932,0.000498505,-0.01,0.989898961,0.9965465440000001
NC_016810.1,CDS,2112114,2112878,-,SL1344_2012,pocR,5.55,5.5963300000000005e-06,3.4837e-05,0.0,0.9977825570000001,0.999555735
NC_016810.1,sRNA,3656569,3656727,-,ncRNA0414,StyR-24g,5.54,2.39737e-08,3.86445e-07,2.54,0.0043215070000000005,0.059056439
NC_016810.1,CDS,3046265,3046657,-,SL1344_2859,sicP,5.54,2.08556e-09,5.26939e-08,0.36,0.692279127,0.8743085429999999
NC_016810.1,CDS,3343025,3343684,+,SL1344_3136,yghB,5.54,3.5118e-10,1.27728e-08,1.51,0.07782997400000001,0.314395811
NC_016810.1,CDS,1960164,1961897,+,SL1344_1844,argS,5.54,1.3374999999999999e-11,8.377949999999999e-10,2.33,0.0039909179999999995,0.056391632000000004
NC_016810.1,CDS,2468981,2470378,-,SL1344_2329,SL1344_2329,5.54,0.00022983299999999998,0.000793075,-1.09,0.31127673100000003,0.610428148
NC_017718.1,CDS,82413,82865,-,SL1344_P2_0097,pilJ,5.54,0.00022893900000000003,0.000790292,-1.32,0.218700726,0.522360107
NC_016810.1,sRNA,3041345,3041651,+,ncRNA0183,STnc600,5.53,1.0246299999999999e-06,8.450729999999999e-06,-0.67,0.551379728,0.7927552520000001
NC_016810.1,sRNA,2576935,2577095,-,ncRNA0412,StyR-24e,5.53,2.45637e-08,3.90766e-07,2.52,0.004653727,0.061513378
NC_016810.1,CDS,1775403,1776965,+,SL1344_1654,trpE,5.53,0.000466846,0.001445345,0.5,0.6825209879999999,
NC_016810.1,CDS,1678146,1679372,+,SL1344_1561,sseJ,5.53,1.60635e-05,8.38502e-05,-1.28,0.31287249300000003,0.612133944
NC_016810.1,CDS,4476501,4477373,+,SL1344_4171,ubiA,5.53,2.0515e-08,3.3767400000000004e-07,2.38,0.012685621999999999,0.10985520900000001
NC_016810.1,CDS,1945758,1946543,+,SL1344_1827,yebI,5.53,3.5470300000000003e-09,8.03875e-08,2.88,0.0009818210000000001,0.02597397
NC_016810.1,CDS,1029768,1031000,+,SL1344_0923,SL1344_0923,5.52,8.27377e-07,7.13342e-06,1.85,0.059261913,0.270304846
NC_016810.1,CDS,3579031,3579195,+,SL1344_3360,SL1344_3360,5.52,0.00019774,0.0007011060000000001,-2.02,0.05333383,0.253729918
NC_016810.1,CDS,2251460,2252179,-,SL1344_2136,yehT,5.52,1.4273499999999999e-08,2.4902699999999997e-07,3.08,0.000792108,0.022642218999999998
NC_017720.1,CDS,87304,88203,+,SL1344_P1_0095,srgB,5.52,0.00032115299999999997,0.001051088,-0.75,0.509258704,0.762418824
NC_016810.1,CDS,1479168,1479497,+,SL1344_1379,SL1344_1379,5.52,7.942039999999998e-10,2.37209e-08,3.14,0.000252779,0.011073055
NC_016810.1,CDS,3399077,3399583,-,SL1344_3186,mug,5.52,5.18374e-09,1.06996e-07,1.67,0.066908673,0.288044614
NC_016810.1,sRNA,2828093,2828145,-,ncRNA0102,rpsP-leader,5.52,5.290399999999999e-06,3.32771e-05,2.14,0.037200907000000005,0.20604049300000002
NC_016810.1,CDS,3040412,3041341,+,SL1344_2855,hilD,5.52,1.08809e-08,1.99483e-07,0.17,0.862091513,0.947222459
NC_016810.1,CDS,50451,51824,-,SL1344_0043,SL1344_0043,5.51,0.000345142,0.001118641,-0.87,0.450817165,0.7201545340000001
NC_016810.1,sRNA,4791124,4791239,+,ncRNA0375,STnc4260,5.51,0.000337568,0.001097555,-0.53,0.640925094,0.8448011329999999
NC_016810.1,CDS,957195,957926,-,SL1344_0863,artJ,5.51,1.20882e-06,9.70066e-06,1.9,0.049796503,0.24395585399999997
NC_016810.1,CDS,3165738,3167573,-,SL1344_2971,recD,5.51,4.4959e-08,6.3364e-07,3.53,0.000312079,0.012457302
NC_016810.1,CDS,2400783,2401388,-,SL1344_2265,ais,5.51,8.36728e-10,2.4424900000000003e-08,-1.06,0.208079483,0.510437888
NC_016810.1,CDS,3060976,3063033,-,SL1344_2875,invA,5.51,5.91485e-10,1.91226e-08,0.42,0.6358911829999999,0.842774444
NC_016810.1,CDS,3104484,3106040,-,SL1344_2922,SL1344_2922,5.51,1.0317100000000001e-08,1.89545e-07,1.3,0.128888063,0.409551989
NC_016810.1,CDS,1633949,1635019,-,SL1344_1520,SL1344_1520,5.5,2.92447e-07,3.0216200000000006e-06,0.2,0.854674455,0.945308241
NC_016810.1,CDS,4830944,4831180,+,SL1344_4483,SL1344_4483,5.5,0.000750919,0.002161918,1.81,0.180187435,
NC_016810.1,CDS,959554,960285,-,SL1344_0866,artI,5.5,5.7365299999999994e-09,1.16278e-07,-0.17,0.852931991,0.94485969
NC_016810.1,CDS,4280503,4281339,+,SL1344_3997,rhaS,5.5,7.07337e-08,9.10155e-07,0.81,0.377612921,0.667027171
NC_016810.1,CDS,3071347,3072003,+,SL1344_2886,SL1344_2886,5.5,0.000578044,0.0017362220000000002,0.81,0.520784617,
NC_016810.1,CDS,3781454,3781789,-,SL1344_3555,uspB,5.5,1.10442e-07,1.32648e-06,0.85,0.406966018,0.689463917
NC_016810.1,CDS,1791215,1791544,+,SL1344_1671,SL1344_1671,5.5,3.20784e-09,7.38135e-08,2.64,0.0030092590000000002,0.049034935999999994
NC_016810.1,CDS,1306474,1306623,-,SL1344_1203,SL1344_1203,5.49,0.00028664099999999997,0.000953357,-0.85,0.437729215,0.7092038140000001
NC_016810.1,CDS,4205143,4206621,+,SL1344_3932,SL1344_3932,5.49,1.07272e-11,6.91138e-10,2.06,0.009024529,0.09059444900000001
NC_016810.1,sRNA,1065576,1065670,+,ncRNA0188,STnc660,5.49,1.3681600000000001e-08,2.41503e-07,-1.14,0.17200457100000002,0.47062540799999997
NC_016810.1,CDS,3285044,3286051,-,SL1344_3080,SL1344_3080,5.49,5.47699e-06,3.42359e-05,-0.73,0.432827488,0.705788724
NC_016810.1,CDS,1745836,1746543,-,SL1344_1627,SL1344_1627,5.49,2.1478000000000004e-09,5.38143e-08,1.6,0.07188179900000001,0.301002245
NC_016810.1,CDS,2880640,2880873,-,SL1344_2699,SL1344_2699,5.48,1.42061e-05,7.57808e-05,1.45,0.154583253,0.44686033700000005
NC_016810.1,CDS,2001705,2002256,-,SL1344_1884,fliZ,5.47,3.82119e-08,5.59531e-07,0.89,0.36348571700000004,0.65422091
NC_016810.1,CDS,2461338,2462024,-,SL1344_2322,hisQ,5.47,3.54301e-06,2.37077e-05,1.22,0.268765072,0.5748538910000001
NC_017718.1,CDS,82908,83162,-,SL1344_P2_0098,pilI,5.47,0.00034663900000000004,0.001122687,-0.57,0.612041058,0.827254855
NC_016810.1,CDS,1747010,1748383,-,SL1344_1628,SL1344_1628,5.47,5.2378999999999995e-08,7.11227e-07,-1.07,0.28523046399999996,0.59048008
NC_017720.1,CDS,40158,40481,-,SL1344_P1_0042,SL1344_P1_0042,5.47,1.1611799999999999e-06,9.41043e-06,-1.15,0.226403142,0.530461934
NC_016810.1,CDS,4000864,4001133,-,SL1344_3745,SL1344_3745,5.47,0.0005976369999999999,0.001787363,-0.2,0.8739097840000001,0.951791315
NC_016810.1,CDS,302143,302865,+,SL1344_0257,SL1344_0257,5.47,4.06271e-09,8.93797e-08,0.7,0.40902402299999996,0.691374608
NC_016810.1,CDS,1795419,1796339,-,SL1344_1676,oppB,5.46,9.37096e-07,7.85558e-06,-0.33,0.752204546,0.90336909
NC_016810.1,sRNA,2586916,2587100,-,ncRNA0400,SLnc1022,5.45,1.5122300000000001e-05,7.99548e-05,0.81,0.421124062,0.6970138779999999
NC_016810.1,CDS,958163,958831,-,SL1344_0864,artM,5.45,5.55349e-07,5.12193e-06,-0.05,0.9590353979999999,0.985174615
NC_016810.1,CDS,3738922,3739683,+,SL1344_3514,SL1344_3514,5.45,5.4158e-05,0.000236387,-0.48,0.627107014,0.836225324
NC_016810.1,CDS,2466364,2467467,-,SL1344_2327,SL1344_2327,5.45,2.1892299999999998e-08,3.56442e-07,0.73,0.41671131,0.6944502220000001
NC_016810.1,CDS,1006175,1007323,+,SL1344_0905,ycaD,5.45,1.1071199999999999e-07,1.32795e-06,1.19,0.214482769,0.517859971
NC_016810.1,sRNA,4101944,4102425,-,ncRNA0529,RUF_279,5.45,9.12815e-08,1.11566e-06,-0.78,0.382734203,0.6713273359999999
NC_016810.1,sRNA,2003194,2003351,-,ncRNA0411,StyR-24d,5.45,5.2467499999999997e-08,7.11227e-07,2.36,0.009461467,0.093067228
NC_016810.1,CDS,1796461,1798092,-,SL1344_1677,oppA,5.44,1.9295000000000002e-07,2.12245e-06,-1.29,0.213432273,0.516395836
NC_016810.1,CDS,2023641,2023910,+,SL1344_1909,fliQ,5.44,9.95399e-06,5.63622e-05,3.27,0.00343038,0.053421259000000006
NC_016810.1,CDS,711712,712884,+,SL1344_0638,SL1344_0638,5.44,1.7498199999999998e-05,9.003639999999999e-05,0.76,0.457041404,0.7247676809999999
NC_016810.1,CDS,1097359,1097777,+,SL1344_0992,SL1344_0992,5.44,1.05326e-06,8.65249e-06,-0.01,0.992353767,0.997826578
NC_016810.1,CDS,4056670,4057932,+,SL1344_3799,SL1344_3799,5.43,8.826399999999999e-06,5.12317e-05,-0.77,0.420834928,0.6970138779999999
NC_016810.1,CDS,1544456,1544659,-,SL1344_1439,SL1344_1439,5.43,2.7171800000000005e-10,1.05762e-08,-2.39,0.00378326,0.055316424
NC_016810.1,CDS,1104459,1105001,+,SL1344_0999,SL1344_0999,5.43,1.0528200000000001e-10,4.86995e-09,2.89,0.00049077,0.017154066000000003
NC_016810.1,CDS,4064938,4066338,-,SL1344_3805,dnaA,5.43,3.12127e-10,1.16338e-08,1.86,0.027333076,0.172486208
NC_016810.1,CDS,1784746,1785384,-,SL1344_1663,SL1344_1663,5.43,7.09052e-08,9.110609999999999e-07,1.06,0.289858477,0.593720365
NC_016810.1,CDS,2018869,2019312,+,SL1344_1902,fliJ,5.42,3.89986e-07,3.81526e-06,2.89,0.005797184,0.069709756
NC_016810.1,CDS,1372531,1373514,+,SL1344_1271,pheS,5.42,5.13032e-09,1.06136e-07,1.45,0.09620349,0.35427663299999995
NC_016810.1,CDS,3289388,3290440,+,SL1344_3085,mutY,5.42,1.03173e-07,1.2491500000000001e-06,1.53,0.10312534300000001,0.366436361
NC_016810.1,CDS,784576,785472,+,SL1344_0702,SL1344_0702,5.41,0.000526295,0.00159569,-0.04,0.9731046259999999,0.990130288
NC_016810.1,CDS,4780611,4781285,-,SL1344_4436,SL1344_4436,5.41,2.089e-05,0.00010526700000000001,2.99,0.008182608000000001,0.085714086
NC_017720.1,CDS,10679,11173,-,SL1344_P1_0009,traS,5.41,1.33374e-11,8.377949999999999e-10,-1.19,0.13421643800000002,0.41711636
NC_016810.1,CDS,1450155,1450523,+,SL1344_1347,ssaM,5.41,2.94925e-08,4.57083e-07,0.68,0.483342373,0.744945773
NC_016810.1,CDS,3208086,3209162,-,SL1344_3005,SL1344_3005,5.41,1.9153199999999998e-05,9.76058e-05,-1.52,0.099618951,0.36134796
NC_016810.1,CDS,4815954,4816415,+,SL1344_4467,SL1344_4467,5.41,0.0011961019999999999,0.0031910190000000002,1.66,0.23843624,
NC_016810.1,CDS,623687,625081,+,SL1344_0556,pheP,5.4,1.37995e-08,2.43108e-07,0.08,0.9248187409999999,0.9742030690000001
NC_016810.1,CDS,3070195,3070722,+,SL1344_2885,SL1344_2885,5.4,6.11105e-07,5.523210000000001e-06,0.69,0.498705719,0.756538209
NC_016810.1,CDS,3701215,3701490,-,SL1344_3483,SL1344_3483,5.4,6.179379999999999e-10,1.9487900000000003e-08,0.62,0.45653856299999995,0.7244905070000001
NC_016810.1,CDS,1176989,1177681,+,SL1344_1069,SL1344_1069,5.4,5.36447e-07,4.98088e-06,0.78,0.417855704,0.6949838709999999
NC_016810.1,CDS,1917075,1917989,+,SL1344_1793,pagO,5.4,3.23367e-06,2.1996700000000002e-05,0.42,0.6976179929999999,0.8778457340000001
NC_016810.1,CDS,4587351,4587926,-,SL1344_4259,yjdC,5.4,2.76693e-07,2.89197e-06,1.13,0.270397961,0.576700805
NC_016810.1,CDS,1439947,1440189,+,SL1344_1330,ssaE,5.4,1.14838e-07,1.3575799999999998e-06,1.32,0.194084145,0.495943804
NC_016810.1,CDS,4531669,4532079,+,SL1344_4207,SL1344_4207,5.4,0.0018383420000000002,0.004602233,3.5,0.02914132,
NC_016810.1,CDS,3033543,3034298,-,SL1344_2846,sprB,5.39,5.35469e-08,7.21963e-07,1.14,0.247918933,0.553795073
NC_016810.1,CDS,4733928,4734740,+,SL1344_4401,miaE,5.39,1.5385799999999999e-09,4.1180900000000004e-08,1.96,0.019789296,0.142322594
NC_016810.1,CDS,1926234,1927109,-,SL1344_1808,SL1344_1808,5.39,9.950120000000002e-09,1.8353799999999999e-07,-0.44,0.614248382,0.827686472
NC_016810.1,CDS,1031231,1031977,+,SL1344_0925,kdsB,5.39,3.07821e-10,1.16174e-08,2.9,0.000418559,0.015686655
NC_016810.1,CDS,4282337,4283371,-,SL1344_3999,rhaT,5.39,0.0008333230000000001,0.0023570320000000002,0.86,0.5028862479999999,
NC_016810.1,CDS,3494764,3495735,+,SL1344_3277,ispB,5.39,4.97631e-08,6.897379999999999e-07,0.53,0.5801508670000001,0.8108531809999999
NC_016810.1,CDS,1922080,1922343,-,SL1344_1801,SL1344_1801,5.39,0.000110846,0.000435086,0.12,0.9117218140000001,0.9704126470000001
NC_016810.1,CDS,1839921,1841186,-,SL1344_1713,SL1344_1713,5.39,6.7128e-10,2.08074e-08,-0.88,0.288426354,0.593027791
NC_016810.1,CDS,3743652,3744068,+,SL1344_3518,SL1344_3518,5.38,5.74274e-07,5.26418e-06,2.49,0.020060701,0.142903368
NC_016810.1,CDS,2977213,2978172,+,SL1344_2793,nrdF,5.38,0.00010810799999999999,0.000426196,-0.53,0.617615027,0.829305528
NC_017718.1,CDS,53206,53394,-,SL1344_P2_0062,traS,5.38,0.002230227,0.005412931,3.25,0.045580588,
NC_016810.1,CDS,1791592,1792374,-,SL1344_1672,SL1344_1672,5.38,5.94682e-08,7.876690000000001e-07,-2.14,0.01311882,0.112594864
NC_016810.1,CDS,3249144,3250004,-,SL1344_3043,SL1344_3043,5.38,3.99387e-06,2.63146e-05,0.59,0.606246231,0.822869308
NC_016810.1,sRNA,259068,259166,+,ncRNA0209,STnc920,5.37,3.2569200000000002e-06,2.20883e-05,0.19,0.8506024879999999,0.944567385
NC_017718.1,CDS,15468,16442,+,SL1344_P2_0021,stbA,5.37,1.0826499999999999e-10,4.95713e-09,2.06,0.010979366,0.09997039099999999
NC_016810.1,CDS,3859524,3859811,-,SL1344_3618,SL1344_3618,5.37,8.637309999999999e-07,7.37072e-06,2.5,0.010281321,0.09780572
NC_016810.1,CDS,1999618,2000604,-,SL1344_1882,dcyD,5.37,2.84694e-09,6.669969999999999e-08,1.65,0.054427234000000005,0.255686712
NC_016810.1,CDS,901532,902005,+,SL1344_0810,SL1344_0810,5.37,2.9871300000000002e-09,6.95423e-08,1.4,0.10934077099999999,0.37689844
NC_016810.1,CDS,2827261,2827809,-,SL1344_2648,rimM,5.37,9.4109e-11,4.44431e-09,1.39,0.084688761,0.330428215
NC_016810.1,CDS,3979512,3980300,-,SL1344_3725,marT,5.37,1.60391e-09,4.24261e-08,-0.39,0.63229472,0.8401925720000001
NC_016810.1,CDS,3534962,3536086,-,SL1344_3318,SL1344_3318,5.37,8.00441e-09,1.5245999999999998e-07,0.49,0.572278035,0.806810371
NC_017718.1,CDS,67938,68762,-,SL1344_P2_0079,traE,5.37,3.0031e-06,2.07831e-05,-0.05,0.962871922,0.9859644790000001
NC_016810.1,CDS,4491975,4492688,+,SL1344_4185,aphA,5.36,6.5715e-08,8.55339e-07,-1.24,0.162254583,0.45626069799999996
NC_016810.1,CDS,4866984,4868333,+,SL1344_4517,creD,5.36,1.6429200000000002e-08,2.78416e-07,-1.26,0.14216157199999999,0.427562179
NC_016810.1,CDS,1436851,1437252,+,SL1344_1327,spiC,5.36,3.96246e-08,5.73699e-07,2.16,0.024895319,0.162556786
NC_016810.1,CDS,375193,376107,+,SL1344_0327,SL1344_0327,5.36,1.20456e-07,1.4117099999999998e-06,1.83,0.040200002,0.21454842699999999
NC_016810.1,CDS,4807850,4808053,-,SL1344_4462,SL1344_4462,5.35,7.29199e-06,4.36455e-05,2.17,0.038430756,0.20942957
NC_016810.1,CDS,3159339,3160253,+,SL1344_2966,SL1344_2966,5.35,8.702160000000001e-07,7.41905e-06,0.37,0.713420528,0.884758235
NC_016810.1,CDS,1446884,1447132,+,SL1344_1342,ssaI,5.35,1.4168700000000001e-08,2.48159e-07,1.1,0.24110091600000003,0.545611131
NC_016810.1,CDS,1139959,1140705,-,SL1344_1035,copR,5.35,2.75443e-09,6.50391e-08,2.03,0.014880388,0.11980992900000001
NC_016810.1,CDS,4837493,4838566,+,SL1344_4490,SL1344_4490,5.34,4.09518e-09,8.96566e-08,1.0,0.26584619,0.5718744889999999
NC_016810.1,sRNA,1295333,1295432,-,ncRNA0193,STnc720,5.34,9.314559999999999e-05,0.00037491,-0.76,0.454980644,0.72269824
NC_016810.1,CDS,2926180,2927463,-,SL1344_2746,SL1344_2746,5.34,2.0416699999999998e-07,2.2187799999999997e-06,-1.38,0.107104781,0.373345129
NC_016810.1,sRNA,1282503,1282686,-,ncRNA0140,STnc150,5.34,3.5551499999999997e-06,2.37712e-05,0.79,0.48708997600000004,0.747307023
NC_016810.1,CDS,1073508,1075562,+,SL1344_0969,SL1344_0969,5.34,2.43154e-08,3.8935899999999996e-07,0.32,0.7023364329999999,0.879844304
NC_017718.1,CDS,5163,5657,-,SL1344_P2_0009,yafA,5.34,3.5905e-09,8.11688e-08,-0.47,0.589348268,0.8154018940000001
NC_016810.1,sRNA,1288534,1289103,+,ncRNA0178,STnc510,5.34,3.00154e-06,2.07831e-05,-1.49,0.18079720000000002,0.48055867399999996
NC_016810.1,CDS,2527433,2527825,+,SL1344_2380,SL1344_2380,5.34,1.38694e-08,2.4386399999999997e-07,0.21,0.810796945,0.927689344
NC_016810.1,CDS,2281654,2282664,-,SL1344_2165,mglC,5.33,5.63569e-08,7.518569999999999e-07,-0.19,0.84646037,0.9443065420000001
NC_016810.1,sRNA,1204289,1204375,-,ncRNA0275,STnc2000,5.33,7.559e-07,6.574939999999999e-06,2.61,0.006290296999999999,0.072911241
